,Torque
439,290
440,309
441,304
442,290
443,309
444,296
445,291
446,302
447,308
448,303
449,299
450,294
451,307
452,293
453,292
454,303
455,305
456,294
457,299
458,294
459,307
460,308
461,303
462,303
463,292
464,293
465,299
466,302
467,305
468,292
469,309
470,296
471,304
472,306
473,305
474,298
475,290
476,300
477,301
478,303
479,297
480,296
481,303
482,305
483,299
484,296
485,301
486,308
487,297
488,291
489,299
490,292
491,308
492,304
493,295
494,294
495,308
496,304
497,308
498,291
499,302
500,290
501,299
502,306
503,292
504,298
505,309
506,300
507,306
508,291
509,290
510,295
511,292
512,305
513,293
514,304
515,295
516,301
517,309
518,296
519,296
520,309
521,296
522,292
523,296
524,295
525,295
526,303
527,299
528,294
529,303
530,307
531,293
532,303
533,309
534,298
535,303
536,295
537,306
538,304
539,295
540,291
541,295
542,296
543,302
544,300
545,304
546,298
547,297
548,303
549,295
550,305
551,300
552,293
553,300
554,308
555,293
556,304
557,308
558,295
559,294
560,307
561,295
562,293
563,295
564,298
565,294
566,307
567,291
568,308
569,291
570,304
571,307
572,297
573,301
574,304
575,306
576,291
577,307
578,302
579,304
580,290
581,292
582,309
583,304
584,308
585,301
586,299
587,304
588,290
589,302
590,299
591,308
592,294
593,297
594,293
595,306
596,302
597,295
598,303
599,306
600,303
601,308
602,309
603,307
604,297
605,307
606,304
607,293
608,300
609,300
610,291
611,306
612,300
613,308
614,306
615,292
616,296
617,299
618,292
619,302
620,299
621,294
622,294
623,299
624,300
625,302
626,298
627,291
628,295
629,297
630,290
631,291
632,293
633,308
634,308
635,298
636,308
637,297
638,300
639,308
640,293
641,302
642,309
643,303
644,290
645,300
646,293
647,296
648,293
649,296
650,309
651,292
652,308
653,308
654,296
655,301
656,290
657,294
658,303
659,299
660,292
661,291
662,302
663,305
664,291
665,302
666,295
667,296
668,291
669,300
670,296
671,296
672,296
673,296
674,301
675,308
676,308
677,308
678,309
679,292
680,302
681,299
682,309
683,298
684,295
685,301
686,291
687,301
688,305
689,302
690,305
691,302
692,308
693,303
694,302
695,299
696,296
697,294
698,306
699,298
700,295
701,305
702,295
703,295
704,307
705,290
706,306
707,306
708,290
709,300
710,302
711,290
712,297
713,309
714,295
715,294
716,309
717,294
718,295
719,302
720,307
721,309
722,302
723,296
724,297
725,306
726,290
727,305
728,300
729,293
730,293
731,306
732,306
733,299
734,295
735,306
736,307
737,299
738,302
739,305
740,296
741,304
742,291
743,294
744,306
745,294
746,297
747,304
748,297
749,292
750,306
751,305
752,305
753,308
754,301
755,304
756,297
757,292
758,307
759,293
760,297
761,303
762,306
763,295
764,294
765,303
766,295
767,309
768,301
769,298
770,290
771,307
772,295
773,294
774,291
775,295
776,306
777,296
778,298
779,309
780,294
781,300
782,300
783,293
784,295
785,299
786,298
787,307
788,309
789,298
790,300
791,291
792,304
793,295
794,306
795,293
796,297
797,291
798,298
799,290
800,295
801,305
802,296
803,305
804,295
805,299
806,307
807,306
808,306
809,301
810,304
811,295
812,309
813,305
814,303
815,301
816,301
817,291
818,297
819,306
820,297
821,305
822,290
823,294
824,308
825,292
826,298
827,300
828,295
829,296
830,296
831,294
832,291
833,294
834,295
835,295
836,296
837,293
838,307
839,305
840,308
841,299
842,294
843,307
844,292
845,309
846,293
847,303
848,301
849,303
850,294
851,307
852,296
853,305
854,292
855,300
856,307
857,295
858,294
859,294
860,305
861,292
862,301
863,292
864,291
865,304
866,309
867,306
868,301
869,291
870,291
871,303
872,296
873,303
874,296
875,309
876,306
877,293
878,304
879,292
880,295
881,297
882,305
883,304
884,293
885,297
886,297
887,309
888,296
889,309
890,307
891,301
892,293
893,303
894,294
895,309
896,296
897,301
898,304
899,308
900,302
901,293
902,295
903,297
904,304
905,301
906,299
907,301
908,306
909,297
910,291
911,308
912,290
913,299
914,298
915,308
916,301
917,309
918,307
919,305
920,293
921,300
922,304
923,305
924,291
925,302
926,301
927,297
928,301
929,303
930,292
931,291
932,306
933,291
934,306
935,291
936,291
937,302
938,296
939,298
940,298
941,303
942,300
943,309
944,308
945,290
946,294
947,290
948,295
949,305
950,309
951,305
952,309
953,302
954,303
955,300
956,299
957,306
958,296
959,293
960,306
961,290
962,291
963,308
964,290
965,301
966,308
967,308
968,305
969,305
970,297
971,302
972,303
973,308
974,304
975,304
976,297
977,302
978,301
979,302
980,305
981,301
982,303
983,304
984,308
985,294
986,291
987,307
988,307
989,306
990,299
991,306
992,292
993,305
994,307
995,296
996,290
997,296
998,302
999,305
